,Thr,Recall,Precision,F1-score,N
0,0.07,0.97381,0.877778,0.923303,1
1,0.01,0.973808,0.871966,0.920077,1
2,0.05,0.973791,0.877382,0.923076,1
3,0.21,0.973782,0.879463,0.924222,1
4,0.06,0.973781,0.877771,0.923287,1
5,0.03,0.973776,0.87638,0.922515,1
6,0.04,0.973771,0.87695,0.922828,1
7,0.1,0.973765,0.87857,0.923722,1
8,0.12,0.973757,0.878742,0.923813,1
9,0.02,0.973756,0.87539,0.921957,1
10,0.08,0.973754,0.878047,0.923428,1
11,0.17,0.973753,0.879214,0.924072,1
12,0.13,0.973746,0.878874,0.923881,1
13,0.11,0.973745,0.87882,0.923851,1
14,0.14,0.973742,0.879021,0.92396,1
15,0.22,0.973737,0.879555,0.924253,1
16,0.15,0.973734,0.879111,0.924006,1
17,0.09,0.973726,0.878244,0.923524,1
18,0.24,0.973724,0.879762,0.924362,1
19,0.19,0.973719,0.879424,0.924172,1
20,0.27,0.973718,0.879952,0.924464,1
21,0.16,0.973689,0.879066,0.923961,1
22,0.25,0.973688,0.879832,0.924384,1
23,0.26,0.973684,0.879946,0.924445,1
24,0.28,0.973683,0.880066,0.92451,1
25,0.29,0.973676,0.880041,0.924494,1
26,0.23,0.973672,0.879671,0.924288,1
27,0.32,0.973636,0.880415,0.924682,1
28,0.33,0.973618,0.88045,0.924693,1
29,0.34,0.973603,0.880638,0.92479,1
30,0.35,0.973587,0.880879,0.924915,1
31,0.39,0.973566,0.881315,0.925146,1
32,0.38,0.973552,0.881106,0.925025,1
33,0.36,0.97355,0.880823,0.924868,1
34,0.41,0.973533,0.881768,0.925382,1
35,0.37,0.973522,0.880973,0.924938,1
36,0.4,0.973468,0.881471,0.925188,1
37,0.42,0.973404,0.881969,0.925434,1
38,0.43,0.97339,0.882176,0.925541,1
39,0.44,0.973349,0.88264,0.925778,1
40,0.45,0.973331,0.882925,0.925926,1
41,0.46,0.973216,0.8834,0.926135,1
42,0.47,0.973123,0.883726,0.926272,1
43,0.48,0.973104,0.884595,0.926741,1
44,0.49,0.972979,0.885178,0.927004,1
45,0.5,0.972776,0.886061,0.927396,1
46,0.51,0.972649,0.887339,0.928038,1
47,0.52,0.972427,0.888183,0.928398,1
48,0.53,0.972168,0.889612,0.92906,1
49,0.54,0.972001,0.89058,0.929511,1
50,0.55,0.971538,0.891977,0.930059,1
51,0.56,0.971306,0.892869,0.930437,1
52,0.57,0.970983,0.894418,0.931129,1
53,0.58,0.970583,0.895161,0.931347,1
54,0.59,0.9703,0.896742,0.932072,1
55,0.6,0.970002,0.897863,0.932539,1
56,0.61,0.96967,0.899305,0.933163,1
57,0.62,0.969287,0.900891,0.933838,1
58,0.63,0.969065,0.90206,0.934363,1
59,0.64,0.968625,0.903462,0.934909,1
60,0.65,0.968322,0.90426,0.935195,1
61,0.66,0.967817,0.905585,0.935667,1
62,0.67,0.967534,0.906482,0.936014,1
63,0.68,0.967077,0.907599,0.936394,1
64,0.69,0.966758,0.908372,0.936656,1
65,0.7,0.966342,0.909445,0.937031,1
66,0.71,0.965808,0.910625,0.937405,1
67,0.72,0.965464,0.911433,0.937671,1
68,0.73,0.964952,0.912256,0.937865,1
69,0.74,0.964521,0.913061,0.938086,1
70,0.75,0.964108,0.914175,0.938477,1
71,0.76,0.963774,0.914925,0.938715,1
72,0.77,0.963259,0.915847,0.938955,1
73,0.78,0.962904,0.916423,0.939089,1
74,0.79,0.962405,0.91739,0.939358,1
75,0.8,0.962095,0.917892,0.939474,1
76,0.81,0.961548,0.918687,0.939629,1
77,0.82,0.961076,0.919815,0.939993,1
78,0.83,0.960724,0.920377,0.940118,1
79,0.84,0.960006,0.921186,0.940196,1
80,0.85,0.959368,0.921923,0.940273,1
81,0.86,0.958301,0.92285,0.940242,1
82,0.87,0.957237,0.923692,0.940165,1
83,0.88,0.954967,0.924842,0.939663,1
84,0.89,0.952498,0.925781,0.938949,1
85,0.9,0.945702,0.92765,0.936589,1
86,0.91,0.933549,0.930751,0.932148,1
87,0.92,0.919946,0.932772,0.926314,1
88,0.93,0.883819,0.937835,0.910026,1
89,0.94,0.841014,0.942287,0.888775,1
90,0.95,0.732105,0.947576,0.82602,1
91,0.96,0.618405,0.95198,0.749764,1
92,0.97,0.385637,0.957572,0.549841,1
93,0.98,0.21694,0.958347,0.353793,1
94,0.99,0.0363522,0.943359,0.0700067,1
95,0.11,0.949437,0.896606,0.922265,10
96,0.05,0.949434,0.895402,0.921627,10
97,0.14,0.94943,0.896914,0.922425,10
98,0.09,0.949425,0.896269,0.922081,10
99,0.02,0.949423,0.894174,0.920971,10
100,0.07,0.949422,0.895825,0.921845,10
101,0.04,0.949409,0.895334,0.921579,10
102,0.17,0.949408,0.897235,0.922585,10
103,0.1,0.949405,0.896481,0.922184,10
104,0.01,0.949403,0.891024,0.919287,10
105,0.12,0.949398,0.896672,0.922282,10
106,0.03,0.949391,0.89479,0.921282,10
107,0.15,0.949387,0.896871,0.922382,10
108,0.06,0.949386,0.8958,0.921815,10
109,0.18,0.949381,0.897245,0.922577,10
110,0.22,0.949376,0.897331,0.92262,10
111,0.26,0.949374,0.897591,0.922756,10
112,0.19,0.94936,0.897201,0.922543,10
113,0.25,0.949353,0.897591,0.922746,10
114,0.35,0.949334,0.897912,0.922908,10
115,0.3,0.949332,0.897672,0.92278,10
116,0.24,0.949329,0.897413,0.922642,10
117,0.21,0.949328,0.89722,0.922539,10
118,0.31,0.949321,0.897821,0.922853,10
119,0.29,0.949318,0.897679,0.922777,10
120,0.34,0.949311,0.897857,0.922867,10
121,0.23,0.949301,0.89732,0.922579,10
122,0.36,0.94927,0.897966,0.922906,10
123,0.32,0.949266,0.897858,0.922847,10
124,0.38,0.949261,0.898033,0.922937,10
125,0.37,0.949251,0.897966,0.922897,10
126,0.39,0.949233,0.898099,0.922958,10
127,0.4,0.949218,0.8982,0.923004,10
128,0.42,0.949183,0.898412,0.9231,10
129,0.44,0.949181,0.898865,0.923338,10
130,0.41,0.949166,0.898245,0.923003,10
131,0.43,0.949148,0.898563,0.923163,10
132,0.46,0.949068,0.899309,0.923519,10
133,0.45,0.949065,0.898893,0.923298,10
134,0.47,0.948941,0.89957,0.923596,10
135,0.48,0.948794,0.899948,0.923726,10
136,0.49,0.948697,0.900225,0.923825,10
137,0.5,0.948543,0.900864,0.924089,10
138,0.51,0.948346,0.901824,0.9245,10
139,0.52,0.948156,0.902397,0.924711,10
140,0.53,0.947745,0.903418,0.925051,10
141,0.54,0.94741,0.904303,0.925355,10
142,0.55,0.947003,0.905239,0.92565,10
143,0.56,0.946587,0.906104,0.925903,10
144,0.57,0.946173,0.907387,0.926374,10
145,0.58,0.945842,0.908133,0.926604,10
146,0.59,0.945277,0.909442,0.927013,10
147,0.6,0.944965,0.910376,0.927348,10
148,0.61,0.944515,0.911648,0.927791,10
149,0.62,0.943976,0.913287,0.928378,10
150,0.63,0.943653,0.914325,0.928758,10
151,0.64,0.943144,0.915429,0.92908,10
152,0.65,0.9427,0.916274,0.929299,10
153,0.66,0.942104,0.917256,0.929514,10
